Moriarty, P.;Zajczyk, A.
Grube, J.;Moriarty, P.
Kaaret, P.;Moriarty, P.
Humensky, T. B.;Moriarty, P.
Falcone, A.;Moriarty, P.
Archambault, S.;Moriarty, P.
Holder, J.;Moriarty, P.
Benbow, W.;Moriarty, P.
Moriarty, P.;Park, N.
Maier, G.;Moriarty, P.
Moriarty, P.;Tyler, J.
Moriarty, P.;Quinn, J.
Byrum, K.;Moriarty, P.
Eisch, J. D.;Moriarty, P.
Errando, M.;Moriarty, P.
Millis, J.;Moriarty, P.
Moriarty, P.;Roache, E.
Moriarty, P.;Telezhinsky, Igor O.
McCann, A.;Moriarty, P.
Kar, P.;Moriarty, P.
Moriarty, P.;Richards, G. T.
Gyuk, G.;Moriarty, P.
Fortson, L.;Moriarty, P.
Moriarty, P.;Smith, A. W.
Moriarty, P.;Ragan, K.
Kieda, D.;Moriarty, P.
Connolly, M. P.;Moriarty, P.
Moriarty, P.;Weinstein, A.
Moriarty, P.;Prokoph, H.
Kumar, S.;Moriarty, P.
Aliu, E.;Ciupik, L.
Ciupik, L.;Sembroski, G. H.
Ciupik, L.;McArthur, S.
Ciupik, L.;Reyes, L. C.
Ciupik, L.;Feng, Q.
Ciupik, L.;Mukherjee, R.
Ciupik, L.;Griffiths, S. T.
Ciupik, L.;Kertzman, M.
Ciupik, L.;Hanna, D.
Ciupik, L.;Cui, W.
Ciupik, L.;Gillanders, G. H.
Ciupik, L.;Lang, M. J.
Ciupik, L.;Zitzer, B.
Ciupik, L.;Dumm, J.
Ciupik, L.;Vincent, S.
Ciupik, L.;Meagher, K.
Ciupik, L.;Krennrich, F.
Ciupik, L.;Nieto, D.
Ciupik, L.;Ong, R. A.
Ciupik, L.;Popkow, A.
Bird, R.;Ciupik, L.
Ciupik, L.;Finley, J. P.
Ciupik, L.;Varlotta, A.
Ciupik, L.;Shahinyan, K.
Archer, A.;Ciupik, L.
Ciupik, L.;Fleischhack, H.
Ciupik, L.;Staszak, D.
Buckley, J. H.;Ciupik, L.
Ciupik, L.;Tucci, J. V.
Ciupik, L.;Reynolds, P. T.
Ciupik, L.;Otte, A. N.
Aune, T.;Ciupik, L.
Chen, Xuhui;Ciupik, L.
Ciupik, L.;Pohl, Manuela
Cerruti, M.;Ciupik, L.
Ciupik, L.;Wakely, S. P.
Barnacka, Anna;Ciupik, L.
Ciupik, L.;Griffin, S.
Bugaev, V.;Ciupik, L.
Cardenzana, J. V.;Ciupik, L.
Ciupik, L.;Madhavan, A. S.
Ciupik, L.;Furniss, A.
Ciupik, L.;Fortin, P.
Ciupik, L.;Zajczyk, A.
Ciupik, L.;Grube, J.
Ciupik, L.;Kaaret, P.
Ciupik, L.;Humensky, T. B.
Ciupik, L.;Falcone, A.
Archambault, S.;Ciupik, L.
Ciupik, L.;Holder, J.
Benbow, W.;Ciupik, L.
Ciupik, L.;Park, N.
Ciupik, L.;Maier, G.
Ciupik, L.;Tyler, J.
Ciupik, L.;Quinn, J.
Byrum, K.;Ciupik, L.
Ciupik, L.;Eisch, J. D.
Ciupik, L.;Errando, M.
Ciupik, L.;Millis, J.
Ciupik, L.;Roache, E.
Ciupik, L.;Telezhinsky, Igor O.
Ciupik, L.;McCann, A.
Ciupik, L.;Kar, P.
Ciupik, L.;Richards, G. T.
Ciupik, L.;Gyuk, G.
Ciupik, L.;Fortson, L.
Ciupik, L.;Smith, A. W.
Ciupik, L.;Ragan, K.
Ciupik, L.;Kieda, D.
Ciupik, L.;Connolly, M. P.
Ciupik, L.;Weinstein, A.
Ciupik, L.;Prokoph, H.
Ciupik, L.;Kumar, S.
Aliu, E.;Sembroski, G. H.
Aliu, E.;McArthur, S.
Aliu, E.;Reyes, L. C.
Aliu, E.;Feng, Q.
Aliu, E.;Mukherjee, R.
Aliu, E.;Griffiths, S. T.
Aliu, E.;Kertzman, M.
Aliu, E.;Hanna, D.
Aliu, E.;Cui, W.
Aliu, E.;Gillanders, G. H.
Aliu, E.;Lang, M. J.
Aliu, E.;Zitzer, B.
Aliu, E.;Dumm, J.
Aliu, E.;Vincent, S.
Aliu, E.;Meagher, K.
Aliu, E.;Krennrich, F.
Aliu, E.;Nieto, D.
Aliu, E.;Ong, R. A.
Aliu, E.;Popkow, A.
Aliu, E.;Bird, R.
Aliu, E.;Finley, J. P.
Aliu, E.;Varlotta, A.
Aliu, E.;Shahinyan, K.
Aliu, E.;Fleischhack, H.
Aliu, E.;Staszak, D.
Aliu, E.;Buckley, J. H.
Aliu, E.;Tucci, J. V.
Aliu, E.;Reynolds, P. T.
Aliu, E.;Otte, A. N.
Aliu, E.;Aune, T.
Aliu, E.;Chen, Xuhui
Aliu, E.;Cerruti, M.
Aliu, E.;Wakely, S. P.
Aliu, E.;Barnacka, Anna
Aliu, E.;Griffin, S.
Aliu, E.;Bugaev, V.
Aliu, E.;Cardenzana, J. V.
Aliu, E.;Madhavan, A. S.
Aliu, E.;Furniss, A.
Aliu, E.;Fortin, P.
Aliu, E.;Zajczyk, A.
Aliu, E.;Grube, J.
Aliu, E.;Kaaret, P.
Aliu, E.;Humensky, T. B.
Aliu, E.;Falcone, A.
Aliu, E.;Archambault, S.
Aliu, E.;Holder, J.
Aliu, E.;Benbow, W.
Aliu, E.;Park, N.
Aliu, E.;Maier, G.
Aliu, E.;Tyler, J.
Aliu, E.;Quinn, J.
Aliu, E.;Byrum, K.
Aliu, E.;Eisch, J. D.
Aliu, E.;Errando, M.
Aliu, E.;Millis, J.
Aliu, E.;Roache, E.
Aliu, E.;Telezhinsky, Igor O.
Aliu, E.;McCann, A.
Aliu, E.;Kar, P.
Aliu, E.;Richards, G. T.
Aliu, E.;Gyuk, G.
Aliu, E.;Fortson, L.
Aliu, E.;Smith, A. W.
Aliu, E.;Ragan, K.
Aliu, E.;Kieda, D.
Aliu, E.;Connolly, M. P.
Aliu, E.;Weinstein, A.
Aliu, E.;Prokoph, H.
McArthur, S.;Sembroski, G. H.
Reyes, L. C.;Sembroski, G. H.
Feng, Q.;Sembroski, G. H.
Mukherjee, R.;Sembroski, G. H.
Griffiths, S. T.;Sembroski, G. H.
Kertzman, M.;Sembroski, G. H.
Hanna, D.;Sembroski, G. H.
Cui, W.;Sembroski, G. H.
Gillanders, G. H.;Sembroski, G. H.
Lang, M. J.;Sembroski, G. H.
Sembroski, G. H.;Zitzer, B.
Dumm, J.;Sembroski, G. H.
Sembroski, G. H.;Vincent, S.
Meagher, K.;Sembroski, G. H.
Krennrich, F.;Sembroski, G. H.
Nieto, D.;Sembroski, G. H.
Ong, R. A.;Sembroski, G. H.
Popkow, A.;Sembroski, G. H.
Bird, R.;Sembroski, G. H.
Finley, J. P.;Sembroski, G. H.
Sembroski, G. H.;Varlotta, A.
Sembroski, G. H.;Shahinyan, K.
Archer, A.;Sembroski, G. H.
Fleischhack, H.;Sembroski, G. H.
Sembroski, G. H.;Staszak, D.
Buckley, J. H.;Sembroski, G. H.
Sembroski, G. H.;Tucci, J. V.
Reynolds, P. T.;Sembroski, G. H.
Otte, A. N.;Sembroski, G. H.
Aune, T.;Sembroski, G. H.
Chen, Xuhui;Sembroski, G. H.
