Wolff, Wanja:11
Kiselev, Oleg M.:2
Tarkhanov, Nikolai Nikolaevich:38
Antoniouk, Alexandra Viktorivna:1
Trauth, Martin H.:60
Maslin, Mark A.:9
Shultz, Susanne:1
Drost, Robert:1
Pascual, Jose Ignacio:1
Umbach, Tobias R.:1
Zastrow, Matthias:1
Barja, Sara:1
Hatter, Nino:2
Franke, Katharina J.:2
May, Volkhard:6
Sparenberg, Mino:1
Körzdörfer, Thomas:20
Megow, Jörg:12
Renger, Thomas:4
Blumstengel, Sylke:2
Henneberger, Fritz:1
Vlasov, Vladimir:5
Pikovskij, Arkadij:134
Komarov, Maxim:10
Mitric, Roland:1
Kirstein, Stefan:3
Rabe, Jürgen P.:6
Röhr, Merle I. S.:2
Busch, Marcel:1
Hildebrandt, Jana:2
Hecht, Stefan:11
Brenner, Thomas J. K.:11
Kniepert, Juliane:14
Paetzel, Michael:2
Bougeois, Laurie:4
Zhu, Bei:1
Jolivet, Marc:1
Bosboom, Roderic:1
Yang, Wei:1
Zhang, Ziya:1
Heilbronn, Gloria:1
Kliegl, Reinhold:200
Niefind, Florian:1
Frömer, Romy:1
Dimigen, Olaf:7
Sommer, Werner:8
Krause, Niels:1
Hadsch, D.:3
van Eldik, Christopher:6
Holler, M.:52
Jung, I.:24
Perez, J.:21
Mayer, M.:47
Fiaon, A.:1
Mohamed, Mmahmoud:1
Reimer, Olaf:8
Reyes, R. de Los:3
Meyer, Manuela:1
Dalton, M.:22
Rob, L.:23
Lu, C-C:3
Katarzynski, Krzysztof:5
Komin, Nukri:1
Katz, Uli:6
Nicenboim, Bruno:10
Vasishth, Shravan:63
Sigman, Mariano:4
Gattei, Carolina:3
Holschneider, Matthias:62
Matuschek, Hannes:5
Lin, Andrew:1
Jacobs, Louis L.:1
Manthi, Fredrick K.:1
Polcyn, Michael J.:1
Clemens, Matthew:1
Winkler, Dale A.:1
Strecker, Manfred Reinhard:153
Wichura, Henry:3
Koschitzki, Thomas:1
Häring, Tim:2
Schröder-Esselbach, Boris:35
Dietz, Elke:1
Osenstetter, Sebastian:1
Sandev, Trifce:10
Tomovski, Zivorad:4
Induli, Martha:2
Cheloti, Michael:1
Wekesa, Ingrid:1
Wanjohi, John M.:3
Makayoto, Moses:1
Yenesew, Abiy:35
Byamukama, Robert:1
Heydenrich, Matthias:1
Wasuna, Antonina:1
Krahé, Barbara:103
König, Tobias:6
Yadavalli, Nataraja Sekhar:13
Hayn, M.:1
Fuhrmann, M.:2
Mayer-Guerr, T.:1
Kusche, J.:1
Eicker, A.:1
Kurtenbach, E.:1
Günter, Christina:44
Baburin, Igor A.:6
Senkovska, Irena:2
Leoni, Stefano:2
Behrens, Karsten:12
Friedrich, Alwin:14
Jäger, Christian:5
Schilde, Uwe:130
Kaskel, Stefan:2
Bacsik, Zoltan:2
Hedin, Niklas:2
Seifert, Gotthard:3
Thomas, Arne:9
Schmidt, Johannes:4
Weber, Jens:9
Debatin, Franziska:3
Kügler, Frank:18
Genzel, Susanne:5
Kratz, Karl:54
Sauter, Tilman:9
Weigel, Thomas:3
Lendlein, Andreas:145
Lützow, Karola:4
Kosmella, Hans:1
Schossig, Michael:3
Holdt, H. -J.:1
Kelling, A.:1
Träger, J.:1
Kühnpast, Nicole:1
Pollatos, Olga:33
Gramann, Klaus:6
Landau, Udi:1
Willmitzer, Lothar:17
Zilberstein, Aviah:1
Chet, Ilan:1
Lisec, Jan:8
Balazadeh, Salma:43
Pnini, Smadar:1
Viterbo, Ada:1
Brotman, Yariv:7
Walker, Larry A.:1
Muhammad, Ilias:1
Midiwo, Jacob O.:17
Machumi, Francis:2
Heydenreich, Matthias:98
Khan, Shabana I.:1
Tekwani, Babu L.:1
Miziarski, S.:1
Lawrence, J.:1
Trinh, C.:2
Löhmannsröben, Hans-Gerd:81
Bryant, J.:1
Bland-Hawthorn, Joss:6
Shortridge, K.:1
Ellis, S. C.:2
Schmidt, B.:2
Couch, W.:1
O'Byrne, J.:1
Gers, L.:1
Zheng, J.:1
Lee, S.:2
Haynes, R.:3
Leon-Saval, S. G.:2
Tinney, C. G.:1
Colless, M.:1
Roth, M.:3
Freeman, K.:1
Glazebrook, K.:1
Horton, A. J.:2
Case, S.:1
Tepper-Garcia, Thorsten:2
Booth, C. M.:2
Theuns, Tom:3
Richter, Philipp:40
Dalla Vecchia, Claudio:1
Schaye, Joop:13
Scheel-Kopeinig, Sabine:1
Papies, Dominik:1
Clement, Michel:2
Toeroek, Tibor:3
Linker, Jon A.:2
Liu, Rui:6
Wang, Haimin:5
Kliem, Bernhard:34
Lionello, Roberto:2
Liu, Chang:5
Titov, Viacheslav S.:5
Tsai, Jie-Li:1
Yan, Ming:34
Gerke, Horst H.:12
Sommer, Michael:55
Rieckh, Helene:4
Thielemann-Kühn, Nele:3
Hoffmann, P.:2
Brückner, Michael:2
Scheffer, Tobias:8
Kanzow, Christian:1
Gutierrez, Margarita:1
Paz, Cristian:5
Silva, Mario:3
Becerra, Jose:3
Astudillo, Luis:1
Peter, Martin G.:105
Schmidt, Bernd:84
Müller, Peter:5
Nikolaus, Joerg:1
Schwarzer, Roland:3
Möllnitz, Kristian:6
Wessig, Pablo:51
Herrmann, Andreas:12
Wawrzinek, Robert:4
Struch, Georg:1
Rettig, R.:1
Pohl, M.:18
Spruss, Astrid:1
Blank, Daniela:1
Bergheim, Ina:2
Bischoff, Stephan C.:1
Kanuri, Giridhar:1
Henkel, Janin:14
